,gene_ids,n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
CTC-548K16.1,ENSG00000267147,5,False,5,0.0012479201,99.89600665557404,6.0,True,0.013445658216497304,3.4409959788844686,1.8911024
CD97,ENSG00000123146,1832,False,1832,0.6156406,61.89683860232945,2960.0,True,2.2063291530485274,3.195176276027499,1.2204291
ZNF333,ENSG00000160961,330,False,330,0.071339436,93.13643926788686,343.0,True,0.6796128503314077,2.9592373240474092,0.7164978
EMR2,ENSG00000127507,81,False,81,0.017470881,98.31530782029951,84.0,True,0.23269745449148568,3.085569561275065,0.90021265
NOTCH3,ENSG00000074181,1407,False,1407,0.5517887,70.73627287853577,2653.0,True,1.9382944494451684,3.3629586800975253,1.8622944
CHERP,ENSG00000085872,688,False,688,0.16139767,85.69051580698836,776.0,True,1.1527660669463293,2.9237026411016664,0.5220244
CTD-3222D19.7,ENSG00000269399,40,False,40,0.008319467,99.16805324459234,40.0,True,0.12265030029502941,2.9572505873693826,0.54247344
ANKLE1,ENSG00000160117,14,False,14,0.0029118136,99.70881863560732,14.0,True,0.06294436759029852,3.1927533939936676,1.1990294
PLVAP,ENSG00000130300,10,False,10,0.0020798668,99.79201331114808,10.0,True,0.03588198557943912,3.0927274453384133,0.92016804
CTD-2521M24.5,ENSG00000269720,284,False,284,0.06426789,94.09317803660566,309.0,True,0.7703380562027737,3.1452127152302145,1.5504532
CTD-2521M24.8,ENSG00000269053,9,False,9,0.0022878535,99.81281198003327,11.0,True,0.02966313739135906,3.049939399324377,0.80087966
SLC27A1,ENSG00000130304,288,False,288,0.064891845,94.0099833610649,312.0,True,0.6556879986687687,3.0570195078273668,1.154975
CTD-3131K8.2,ENSG00000269439,502,False,502,0.11605657,89.55906821963394,558.0,True,0.9449523381525016,3.058785113301231,1.0890784
FAM129C,ENSG00000167483,8,False,8,0.0016638935,99.83361064891847,8.0,True,0.013214655740213611,3.0532646628516593,0.81015015
INSL3,ENSG00000248099,7,False,7,0.0014559068,99.85440931780366,7.0,True,0.03356327557326397,3.096238642407857,0.92995685
JAK3,ENSG00000105639,315,False,315,0.07300333,93.44841930116472,351.0,True,0.6967718470710643,2.994151181800103,0.87305933
IFI30,ENSG00000216490,779,False,779,0.20590682,83.79783693843595,990.0,True,1.5176520126225395,3.514698106615451,2.7685537
KIAA1683,ENSG00000130518,35,False,35,0.0074875206,99.2720465890183,36.0,True,0.1099604832890744,3.1794997298957144,1.1620797
PGPEP1,ENSG00000130517,611,False,611,0.14746256,87.29201331114808,709.0,True,1.053089689391437,2.966430691218334,0.70138973
GDF15,ENSG00000130513,683,False,683,0.25686356,85.79450915141432,1235.0,True,1.411870003907084,4.019897270880471,4.8168325
AC005253.2,ENSG00000268030,139,False,139,0.030366056,97.1089850249584,146.0,True,0.41788368147961497,3.2118683524420724,1.2523198
CRLF1,ENSG00000006016,1029,False,1029,0.38456738,78.5981697171381,1849.0,True,1.6773183523266628,3.4589982159786814,2.5427241
TMEM59L,ENSG00000105696,125,False,125,0.028078202,97.40016638935109,135.0,True,0.25426104963063634,2.9821571735961876,0.6119102
COMP,ENSG00000105664,250,False,250,0.07549917,94.80033277870217,363.0,True,0.6245406891442293,3.352065802073364,2.4780288
SUGP2,ENSG00000064607,1487,False,1487,0.39122295,69.07237936772046,1881.0,True,1.8157050093760165,3.0624071291937405,0.7125099
AC004447.2,ENSG00000269131,22,False,22,0.004575707,99.5424292845258,22.0,True,0.0826555459976977,3.1405461612955223,1.0534813
TMEM161A,ENSG00000064545,354,False,354,0.078618966,92.63727121464225,378.0,True,0.6674956752749759,3.0428249343406217,1.0913234
TM6SF2,ENSG00000213996,38,False,38,0.007903494,99.20965058236273,38.0,True,0.08314854704860992,2.9484214742737884,0.5178588
TSSK6,ENSG00000178093,23,False,23,0.0049916804,99.5216306156406,24.0,True,0.07614841611311832,3.020440305989034,0.71863943
YJEFN3,ENSG00000250067,160,False,160,0.034317803,96.67221297836939,165.0,True,0.37252032174611244,3.149575024935384,1.0786529
PBX4,ENSG00000105717,18,False,18,0.0037437603,99.62562396006656,18.0,True,0.06583117743096432,3.123125424961956,1.0049143
ATP13A1,ENSG00000105726,861,False,861,0.20382695,82.09234608985025,980.0,True,1.2260129371665935,2.9743551606802296,0.7346553
LINC00663,ENSG00000266904,171,False,171,0.038061563,96.44342762063228,183.0,True,0.5277738715562411,3.317443022410874,2.3227725
ZNF682,ENSG00000197124,155,False,155,0.034317803,96.77620632279535,165.0,True,0.3253953753514203,3.0150185292800877,0.7035241
